year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,669,699,-278,-457,82,12.4,4606,83,20.9,51
1988,689,695,-255,-483,123,13.2,4831,72,19.9,26
1989,548,682,-401,-381,17,13.3,4855,82,20.4,27
1990,789,680,-127,-362,136,12.5,4579,66,19.9,31
1991,791,736,-253,-420,76,12.2,4475,47,18.4,30
1992,799,710,-159,-449,185,12.9,4725,84,20.0,39
1993,867,751,-185,-278,99,12.4,4546,50,19.0,41
1994,589,791,-525,-581,69,12.9,4748,71,19.4,22
1995,812,608,-49,-292,105,11.9,4364,43,18.6,38
1996,607,779,-512,-550,15,13.1,4782,69,19.4,36
1997,498,802,-611,-618,56,12.9,4700,81,19.9,38
1998,655,655,-245,-348,102,12.3,4494,46,17.4,24
1999,887,723,-170,-254,109,11.7,4305,43,18.2,47
2000,639,739,-437,-402,-12,12.7,4627,62,18.6,25
2001,714,663,-213,-280,-12,12.9,4717,69,20.2,21
2002,649,697,-304,-399,101,12.7,4668,77,20.0,31
2003,707,688,-239,-390,54,12.8,4680,69,19.9,42
2004,764,704,-191,-394,55,12.6,4599,78,20.5,28
2005,752,692,-197,-324,85,12.8,4663,68,19.0,39
2006,754,667,-155,-297,77,12.5,4605,68,20.1,37
2007,849,670,-73,-404,99,12.9,4709,63,18.7,25
2008,728,700,-227,-329,37,12.7,4632,79,19.8,38
2009,585,687,-351,-410,80,12.6,4634,70,19.8,40
2010,633,690,-311,-434,26,13.2,4827,77,21.6,24
2011,717,674,-194,-345,113,12.2,4451,53,19.6,44
2012,674,703,-279,-338,32,12.6,4588,82,20.6,37
2013,749,679,-180,-387,55,12.9,4734,65,18.9,25
2014,712,706,-240,-354,88,13.1,4792,78,21.2,20
2015,778,675,-120,-332,144,12.0,4394,63,18.7,44
2016,654,693,-300,-455,106,12.9,4748,77,20.6,37
2016
2017,698,702,-268,-297,51,13.9,5084,94,20.7,16
2018,613,723,-367,-542,80,13.5,4924,98,21.3,19
2019,548,740,-454,-527,19,14.2,5169,113,21.9,23
2020,469,727,-529,-540,60,14.0,5141,89,20.2,14
2021,712,834,-433,-551,96,14.4,5253,104,21.5,17
2022,584,717,-359,-441,90,13.8,5043,91,22.9,29
2023,578,812,-526,-505,29,13.2,4816,81,21.7,22
2024,702,778,-413,-524,34,14.3,5241,105,20.8,15
2025,702,680,-222,-388,69,14.0,5104,78,21.1,16
2026,606,823,-527,-697,86,13.8,5053,101,21.0,12
2027,649,788,-440,-545,71,13.9,5088,108,20.8,12
2028,684,658,-221,-350,87,13.1,4813,79,20.1,20
2029,540,822,-636,-610,26,13.9,5083,95,21.3,25
2030,618,787,-477,-655,116,13.1,4808,83,20.1,25
2031,476,707,-469,-510,6,13.2,4844,99,20.8,24
2032,425,796,-614,-580,-40,14.4,5287,120,21.8,15
2033,585,714,-383,-440,0,13.6,4980,92,20.5,22
2034,573,733,-404,-461,43,13.7,5014,80,21.5,17
2035,452,787,-575,-561,20,13.9,5095,113,21.6,31
2036,568,715,-406,-494,67,13.8,5056,86,20.7,19
2037,681,702,-289,-379,59,13.9,5079,115,22.0,29
2038,588,711,-378,-419,56,14.0,5125,92,21.3,26
2039,473,728,-519,-567,-3,14.2,5186,107,20.8,19
2040,595,692,-350,-407,48,13.1,4807,81,20.2,33
2041,440,721,-543,-587,10,13.8,5032,87,20.2,23
2042,527,771,-493,-551,34,14.1,5148,97,21.5,19
2043,531,721,-430,-497,81,13.9,5091,97,21.9,13
2044,516,746,-484,-545,52,14.0,5122,107,21.0,22
2045,643,716,-323,-476,106,13.2,4832,96,20.8,30
2046,533,748,-435,-554,70,13.3,4844,99,21.0,40
