year,annual-hydric-deficit
1987,-222
1988,-25
1989,-342
1990,-183
1991,-162
1992,-13
1993,-85
1994,-117
1995,-105
1996,-142
1997,-157
1998,-104
1999,-23
2000,-244
2001,-240
2002,-231
2003,-346
2004,-162
2005,-524
2006,-291
2007,-283
2008,-97
2009,-274
2010,-275
2011,-494
2012,-344
2013,-39
2014,-160
2015,-391
2016,-242
