year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,129,147,150,138
1988,263,322,137,61
1989,179,181,146,102
1990,176,162,91,256
1991,115,179,186,163
1992,85,364,135,270
1993,30,227,224,262
1994,164,238,120,197
1995,230,114,238,205
1996,177,127,200,212
1997,75,242,197,204
1998,96,239,226,196
1999,140,220,284,190
2000,111,199,91,286
2001,199,204,173,79
2002,90,228,122,202
2003,152,149,167,204
2004,226,171,168,181
2005,73,151,116,109
2006,169,115,285,110
2007,181,208,112,81
2008,155,281,134,188
2009,110,195,90,215
2010,143,176,120,179
2011,106,100,128,137
2012,62,261,72,186
2013,298,259,76,183
2014,258,140,194,140
2015,141,141,196,100
2016,255,255,71,122
