year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,165,55,51,158
1988,68,289,35,80
1989,43,196,32,286
1990,36,117,77,89
1991,137,62,38,54
1992,32,41,60,124
1993,29,155,54,163
1994,61,118,19,102
1995,63,125,43,126
1996,133,95,43,149
1997,40,115,64,301
1998,39,128,88,56
1999,54,69,71,116
2000,29,143,37,191
2001,181,46,63,66
2002,88,101,104,139
2003,140,97,83,122
2004,54,84,31,103
2005,36,59,14,169
2006,68,83,70,155
2007,76,143,78,85
2008,61,216,11,124
2009,67,86,54,127
2010,164,138,49,163
2011,94,80,34,96
2012,22,139,44,88
2013,175,83,83,120
2014,114,42,36,108
2015,31,103,15,71
2016,180,121,34,102
