year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.9,14.3,21.0,8.5
1988,6.4,13.0,19.3,8.4
1989,6.1,14.2,20.7,11.1
1990,7.9,14.3,22.2,8.5
1991,5.3,13.5,21.1,7.6
1992,4.7,13.9,20.4,8.4
1993,4.7,13.0,18.6,7.3
1994,6.2,14.0,19.8,9.5
1995,7.1,15.3,19.4,10.7
1996,6.2,14.6,18.8,8.4
1997,7.6,14.1,19.9,9.7
1998,7.6,13.3,20.2,6.9
1999,4.9,14.1,19.9,7.5
2000,5.4,14.3,18.6,8.5
2001,7.3,14.5,19.3,6.7
2002,6.8,14.1,18.7,9.6
2003,5.8,15.5,20.6,8.2
2004,5.9,14.2,19.5,7.3
2005,4.7,15.6,20.3,8.1
2006,5.2,15.8,21.1,10.0
2007,6.9,14.0,19.6,7.8
2008,7.0,13.9,18.9,6.8
2009,6.6,15.0,20.9,9.9
2010,5.8,14.4,21.4,8.1
2011,7.3,17.3,21.3,10.3
2012,4.1,13.9,19.5,8.3
2013,6.9,13.4,21.7,8.9
2014,6.3,13.7,19.2,9.2
2015,5.0,15.9,19.8,9.4
2016,6.3,13.7,20.8,8.7
