year,wheat,winter-durum-wheat,maize-for-grain-irrigated,maize-for-grain-rainfed,permanent-grasslands,permanent-grasslands-protein-content
,tn/ha,tn/ha,tn/ha,tn/ha,kg/m2 Dry matter,g/kg DM
2000,,0.887,14.250,,1422.67,88.60
2001,2.226,0.610,11.000,2.000,878.40,103.50
2002,3.048,0.556,10.500,,1608.67,98.70
2003,2.856,0.383,10.720,,1585.33,98.00
2004,3.397,0.477,10.500,2.000,885.59,112.60
2005,1.533,0.369,9.600
2006,2.350,0.758,10.850,6.000
2007,4.108,0.525,10.000,5.400
2008,4.208,0.286,9.500,2.500
2009,2.048,0.286,11.300
2010,2.821,0.556,12.300
2011,3.627,0.370,13.000,5.000
2012,2.659,0.356,12.835,5.000
2013,3.449,0.390,11.000,5.000
2014,2.404,0.295,12.250
2015,,0.429
2016
2017
