year,A1,A2,A3
,label A1,label A2,label A3
1987,18,2763,132
1988,16,2579,129
1989,27,2658,170
1990,15,2896,100
1991,10,2613,116
1992,8,2637,83
1993,26,2753,216
1994,4,2853,80
1995,28,2732,173
1996,19,2585,159
1997,30,2787,221
1998,10,2530,74
1999,17,2836,151
2000,7,2764,109
2001,12,2678,98
2002,13,2742,117
2003,18,2776,139
2004,4,2765,68
2005,14,2863,110
2006,16,2580,120
2007,7,2541,63
2008,28,2646,188
2009,21,2638,131
2010,12,2909,95
2011,12,2885,88
2012,13,2735,121
2013,15,2778,136
2014,15,2772,90
2015,16,2776,116
2016,14,2450,104
2016
2017,24,2634,201
2018,32,2213,210
2019,36,2144,227
2020,38,2594,260
2021,20,2425,158
2022,37,2534,236
2023,18,2489,142
2024,31,2460,266
2025,42,2532,281
2026,32,2581,245
2027,31,2365,245
2028,29,2486,209
2029,27,2238,203
2030,22,2451,212
2031,47,2410,254
2032,41,2644,262
2033,45,2711,294
2034,24,2337,170
2035,31,2823,221
2036,45,2545,267
2037,38,2373,280
2038,28,2529,254
2039,36,2344,230
2040,36,2472,248
2041,39,2423,268
2042,49,2255,298
2043,23,2402,167
2044,31,2216,222
2045,27,2688,189
2046,21,2531,158

min,,1600
max,,3200
steps,,9
decimal



