year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,23,-45,-83,152
1988,136,-13,-131,83
1989,-22,-151,-197,22
1990,-13,-137,-239,139
1991,-17,-166,-189,83
1992,-7,-76,-113,201
1993,-49,18,-119,238
1994,93,-86,-158,81
1995,134,-91,-176,73
1996,19,-212,-208,168
1997,15,-141,-165,102
1998,-27,-104,-212,125
1999,34,-120,-138,117
2000,45,-128,-18,150
2001,93,-62,-28,85
2002,37,-185,-147,151
2003,6,-170,-309,69
2004,65,-132,-152,36
2005,5,-144,-100,10
2006,64,-164,-122,81
2007,48,-210,-70,41
2008,80,-62,-158,40
2009,7,-119,-182,65
2010,24,-159,-104,138
2011,-8,-237,-129,104
2012,11,-1,-143,241
2013,47,128,-139,255
2014,53,-234,-65,132
2015,32,-168,-201,40
2016,148,103,-236,71
