year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.3,12.5,18.2,7.4
1988,5.6,13.9,17.2,7.6
1989,5.9,13.5,18.4,7.4
1990,6.7,13.4,17.9,7.1
1991,4.1,11.7,19.4,6.0
1992,4.2,13.7,18.3,6.5
1993,4.1,14.4,16.7,5.7
1994,5.8,13.0,18.5,9.1
1995,5.6,12.8,18.4,7.7
1996,3.4,13.1,16.3,6.1
1997,4.8,13.2,18.8,7.5
1998,5.5,14.0,17.6,5.9
1999,5.2,14.0,19.3,6.8
2000,5.5,14.5,17.9,9.0
2001,6.0,13.2,17.6,7.1
2002,6.3,14.1,17.4,8.7
2003,4.3,15.6,20.2,7.0
2004,4.5,13.3,18.4,7.0
2005,3.9,14.5,18.1,7.4
2006,3.1,14.2,19.8,9.2
2007,6.8,15.9,16.7,6.3
2008,5.8,14.0,17.0,6.6
2009,3.2,14.8,18.9,7.9
2010,3.3,13.4,17.9,5.6
2011,5.4,15.6,18.0,8.9
2012,4.4,13.6,18.0,8.1
2013,3.1,12.4,18.9,8.2
2014,7.2,14.3,17.9,9.4
2015,4.5,14.3,19.1,9.8
2016,5.4,13.4,19.4,6.8
