year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,potatoes,sugar-beet,maize-silage,temporary-grasslands,permanent-grasslands,lucerne,vineyards
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha
2000,84,77,60,98,34,33,35,51,51,479,890,140,70,58,,94
2001,79,73,50,89,28,23,28,47,40,400,690,130,82,55,,75
2002,84,78,60,86,32,32,32,49,55,496,709,140,81,55,,84
2003,68,60,40,66,32,29,25,45,45,479,630,100,53,35,,56
2004,89,76,82,85,38,31,30,54,50,499,832,115,80,66,,102
2005,83,74,75,87,43,37,30,44,38,449,865,115,80,66,,92
2006,78,70,60,76,32,26,30,41,36,519,810,100,75,65,,92
2007,78,71,50,97,30,29,30,36,48,558,990,128,82,70,139,90
2008,73,75,50,86,32,31,30,41,45,499,927,115,76,67,124,97
2009,83,75,51,93,39,34,34,49,53,520,973,126,66,59,116,83
2010,78,72,60,89,33,28,30,46,35,490,861,100,66,54,111,71
2011,75,68,62,100,36,31,28,35,43,530,1038,115,45,39,120,83
2012,76,72,53,85,31,30,25,39,45,515,901,115,62,55,123,56
2013,77,66,66,67,30,25,20,40,38,520,840,81,64,59,112,79
2014,83,73,62,100,41,25,27,39,26,560,1026,106,60,56,130,87
2015,89,81,64,48,36,19,27,42,34,504,814,63,40,36,102,71
2016,46,54,24,53,29,25,30,13,15,440,898,83,62,55,101,47
2017,76,66,50,106,37,30,25,35,29,545,970,130,80,68,122,69
