year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,105,219,203,223
1988,226,266,172,152
1989,87,173,143,124
1990,102,154,95,215
1991,82,99,141,150
1992,72,225,193,257
1993,38,302,176,304
1994,178,183,146,154
1995,235,174,147,144
1996,104,85,100,233
1997,108,156,145,181
1998,79,186,100,190
1999,122,157,194,193
2000,136,178,267,236
2001,183,220,267,160
2002,146,120,140,231
2003,117,158,67,143
2004,162,165,158,107
2005,90,161,209,90
2006,145,131,213,165
2007,147,102,207,109
2008,179,205,133,110
2009,93,180,145,152
2010,122,125,202,211
2011,91,99,166,183
2012,107,264,166,315
2013,124,372,184,333
2014,166,75,209,209
2015,117,142,158,129
2016,241,345,81,137
