year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.7,12.1,18.6,7.0
1988,5.0,11.3,17.7,7.5
1989,5.5,12.4,18.5,9.3
1990,6.8,11.4,17.0,6.5
1991,4.8,12.3,21.1,7.3
1992,4.3,12.8,19.1,7.4
1993,3.9,11.6,16.6,6.4
1994,5.6,13.2,19.6,8.3
1995,5.9,13.0,18.1,9.4
1996,5.0,12.7,17.3,7.6
1997,7.5,13.6,19.4,9.0
1998,6.4,12.0,18.6,6.7
1999,4.7,13.0,18.7,6.8
2000,5.6,13.1,18.6,8.0
2001,6.5,13.4,18.5,6.4
2002,6.5,12.7,17.7,9.0
2003,5.3,14.8,20.5,7.7
2004,5.0,12.8,18.7,7.2
2005,3.5,14.4,18.8,7.2
2006,4.5,14.7,19.8,9.1
2007,5.4,13.0,17.9,6.8
2008,6.2,12.9,17.9,6.9
2009,4.7,13.2,18.9,8.3
2010,3.8,11.9,18.4,6.2
2011,4.9,14.0,18.5,8.6
2012,4.2,12.7,18.5,7.6
2013,4.5,10.2,18.7,7.4
2014,5.6,13.1,18.2,8.9
2015,3.8,13.9,18.6,8.8
2016,5.0,12.1,19.4,8.2
