year,annual-precipitations
1987,779
1988,599
1989,707
1990,327
1991,370
1992,370
1993,513
1994,462
1995,412
1996,689
1997,642
1998,397
1999,506
2000,554
2001,637
2002,561
2003,555
2004,530
2005,469
2006,562
2007,584
2008,673
2009,527
2010,615
2011,478
2012,402
2013,652
2014,555
2015,389
2016,579
