year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,99,-268,-203,191
1988,24,-19,-370,-17
1989,-59,-196,-411,253
1990,-127,-170,-334,-17
1991,19,-271,-416,-18
1992,-102,-173,-405,44
1993,-57,-87,-348,71
1994,-59,-234,-382,71
1995,-84,-279,-370,6
1996,111,-221,-371,123
1997,-34,-175,-274,148
1998,-86,-161,-341,-24
1999,-68,-220,-323,88
2000,-112,-174,-367,155
2001,184,-338,-289,-22
2002,-76,-262,-334,139
2003,24,-295,-465,114
2004,6,-236,-408,71
2005,-77,-296,-513,142
2006,-7,-305,-448,132
2007,68,-98,-344,-11
2008,-23,6,-426,71
2009,-56,-246,-436,147
2010,102,-169,-429,101
2011,33,-217,-365,-11
2012,-69,-201,-443,35
2013,119,-139,-381,91
2014,33,-209,-401,89
2015,-1,-249,-435,3
2016,159,-154,-457,4
