year,annual-hydric-deficit
1987,-180
1988,-381
1989,-413
1990,-647
1991,-686
1992,-637
1993,-422
1994,-605
1995,-727
1996,-357
1997,-335
1998,-611
1999,-524
2000,-498
2001,-464
2002,-532
2003,-622
2004,-567
2005,-745
2006,-628
2007,-385
2008,-372
2009,-593
2010,-395
2011,-560
2012,-677
2013,-311
2014,-487
2015,-681
2016,-448
