year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,494,763,-526,-592,-9,10.7,3921,66,19.1,52
1988,518,742,-472,-558,-12,10.5,3841,58,18.4,54
1989,419,773,-639,-525,-94,11.4,4183,65,18.9,48
1990,518,784,-545,-566,44,11.3,4159,62,19.0,58
1991,643,774,-444,-515,9,10.3,3773,51,17.8,68
1992,594,747,-423,-502,41,11.5,4206,68,18.1,35
1993,642,836,-520,-478,-89,10.9,3979,63,18.2,63
1994,528,815,-622,-621,-39,10.9,4025,62,19.2,49
1995,487,788,-545,-542,-15,10.8,3944,69,19.2,58
1996,757,798,-352,-464,70,10.8,3961,47,17.5,45
1997,535,820,-604,-639,-6,10.7,3927,63,18.8,65
1998,611,706,-370,-399,-41,10.3,3777,49,18.0,66
1999,392,808,-731,-630,-50,10.3,3770,52,17.8,54
2000,593,779,-518,-431,-96,10.9,3988,50,16.7,56
2001,571,748,-437,-458,-27,10.6,3887,55,17.6,66
2002,600,723,-390,-501,85,10.4,3824,41,16.8,65
2003,675,768,-337,-481,37,10.7,3929,54,18.8,55
2004,633,749,-369,-474,55,10.2,3730,54,18.4,78
2005,632,772,-407,-481,40,11.0,4033,65,18.7,62
2006,448,737,-569,-561,-31,11.4,4188,58,18.0,44
2007,543,718,-431,-506,-2,10.6,3867,47,17.3,40
2008,505,744,-496,-506,-2,11.0,4006,49,17.5,46
2009,576,723,-425,-458,22,10.8,3967,49,17.7,57
2010,551,774,-473,-526,-9,11.0,4045,69,18.7,50
2011,482,750,-534,-618,39,10.6,3892,53,17.8,67
2012,700,712,-270,-397,40,10.7,3909,43,17.3,39
2013,591,739,-389,-436,-30,9.9,3627,67,18.5,83
2014,600,751,-419,-454,60,11.1,4074,63,18.4,51
2015,718,739,-276,-445,46,10.5,3862,49,17.4,57
2016,553,720,-422,-446,48,10.3,3766,43,18.0,55
2016
2017,679,764,-342,-430,-10,11.4,4172,69,19.7,47
2018,545,793,-534,-519,27,11.8,4321,79,19.5,53
2019,504,797,-563,-547,-39,12.3,4484,86,19.5,25
2020,512,821,-579,-574,9,12.1,4438,87,20.5,34
2021,502,869,-699,-636,-2,11.6,4239,76,18.1,39
2022,526,792,-534,-557,77,11.5,4218,82,19.1,48
2023,472,908,-771,-703,-54,12.8,4656,96,20.3,16
2024,494,870,-703,-612,-60,12.3,4520,83,18.6,14
2025,671,761,-342,-405,26,11.5,4180,63,18.2,34
2026,561,866,-653,-570,-89,12.2,4464,77,19.3,32
2027,569,852,-638,-550,-58,12.2,4454,85,20.4,44
2028,515,823,-573,-608,36,12.3,4511,70,19.7,17
2029,447,928,-778,-771,-4,12.3,4494,107,20.6,36
2030,531,808,-603,-497,-78,11.7,4285,64,19.3,27
2031,546,760,-498,-520,28,11.9,4365,71,19.2,36
2032,683,772,-366,-418,9,11.8,4309,68,18.4,18
2033,554,790,-487,-570,103,11.3,4117,78,19.6,55
2034,726,760,-315,-352,32,11.6,4246,73,18.8,40
2035,628,761,-403,-497,43,12.0,4386,80,20.6,33
2036,539,839,-553,-563,33,12.3,4500,91,21.4,51
2037,628,805,-428,-489,-12,11.4,4185,84,20.6,50
2038,589,786,-463,-493,35,11.8,4315,71,19.8,42
2039,483,798,-610,-543,-20,12.2,4475,80,20.1,39
2040,467,839,-668,-613,-11,12.8,4686,97,20.4,28
2041,429,821,-648,-587,-18,12.2,4452,87,20.4,23
2042,596,743,-414,-481,32,11.0,4022,70,19.4,55
2043,530,785,-505,-536,27,11.6,4245,72,19.4,20
2044,632,793,-403,-459,49,11.7,4272,86,20.3,37
2045,580,782,-463,-568,74,11.5,4221,78,19.2,42
2046,543,848,-565,-562,-10,12.7,4636,99,21.5,39
