year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,209,80,198,291
1988,167,272,57,102
1989,94,166,61,386
1990,41,134,45,107
1991,137,99,51,83
1992,40,179,16,135
1993,57,225,65,166
1994,76,144,70,171
1995,59,116,84,153
1996,244,137,69,239
1997,107,161,115,260
1998,54,165,104,74
1999,57,142,115,192
2000,28,168,85,273
2001,309,53,175,99
2002,70,115,112,265
2003,157,116,55,227
2004,128,131,74,197
2005,57,123,17,272
2006,121,111,51,279
2007,184,231,71,99
2008,117,344,40,171
2009,83,121,45,278
2010,207,156,36,216
2011,138,139,84,117
2012,64,159,39,140
2013,218,149,85,200
2014,162,157,38,198
2015,102,131,45,112
2016,264,179,19,117
