year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,20,-191,-239,39
1988,-32,-293,-272,-18
1989,-69,-204,-185,-64
1990,-86,-213,-325,-23
1991,-68,-175,-259,29
1992,-25,-301,-330,34
1993,-11,-274,-141,39
1994,-42,-142,-294,8
1995,20,-62,-129,91
1996,53,-53,-54,10
1997,32,-146,-35,43
1998,-92,-261,-87,61
1999,-4,-89,-77,51
2000,68,-356,-178,22
2001,-25,-276,-135,-28
2002,-40,-222,-146,114
2003,-45,-296,-305,3
2004,115,-95,-244,7
2005,49,-188,-84,29
2006,69,-56,-257,-37
2007,94,-237,-51,99
2008,-26,-34,-80,61
2009,168,-67,-94,56
2010,-29,-48,27,42
2011,-21,-184,-123,26
2012,18,-197,-111,39
2013,118,-76,-204,33
2014,-26,-109,-32,30
2015,-3,-232,-273,39
2016,10,-76,-127,94
