year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,77,139,0
1988,75,134,0
1989,82,137,0
1990,68,125,1
1991,78,131,1
1992,66,118,2
1993,72,123,0
1994,77,137,0
1995,83,140,0
1996,85,143,0
1997,67,121,0
1998,72,134,0
1999,62,134,0
2000,67,127,0
2001,75,126,1
2002,92,143,0
2003,90,140,0
2004,84,136,0
2005,89,138,0
2006,80,134,0
2007,70,121,0
2008,87,136,0
2009,87,138,0
2010,81,136,0
2011,88,140,1
2012,76,138,1
2013,58,125,0
2014,91,145,0
2015,76,133,0
2016,72,133,0
2016
2017,49,130,0
2018,80,136,0
2019,67,135,0
2020,78,128,0
2021,57,128,0
2022,71,142,0
2023,59,130,0
2024,74,133,0
2025,70,137,1
2026,94,149,1
2027,100,154,0
2028,74,123,1
2029,59,124,0
2030,72,126,1
2031,57,128,1
2032,59,134,0
2033,79,142,0
2034,87,139,0
2035,55,139,1
2036,76,136,0
2037,76,137,0
2038,86,139,1
2039,80,125,0
2040,67,143,0
2041,69,131,0
2042,71,118,1
2043,72,128,0
2044,66,135,0
2045,73,126,0
2046,72,143,0

min,,90,0
max,,190,6
steps,,11,7
decimal
