year,A1,A2,A3
,label A1,label A2,label A3
1987,11,4784,84
1988,15,4521,91
1989,10,4384,100
1990,4,4315,30
1991,3,4578,38
1992,6,4211,44
1993,5,4519,63
1994,12,4522,136
1995,9,4688,82
1996,5,4311,63
1997,4,4488,64
1998,2,4487,19
1999,1,4070,20
2000,3,4281,50
2001,4,4144,29
2002,3,4619,29
2003,4,4523,42
2004,10,4265,74
2005,1,4348,46
2006,4,4452,28
2007,9,4497,87
2008,7,4182,81
2009,10,4380,71
2010,3,4269,38
2011,12,4567,89
2012,16,4418,117
2013,5,3904,55
2014,6,4507,40
2015,3,4286,48
2016,5,4497,42
2016
2017,12,3987,96
2018,13,3939,111
2019,20,4187,117
2020,4,3940,47
2021,5,3861,67
2022,11,4076,99
2023,5,4190,44
2024,8,3899,57
2025,9,4172,77
2026,5,3716,60
2027,11,3914,123
2028,2,4001,39
2029,4,3918,45
2030,0,3993,46
2031,1,3967,15
2032,1,3928,27
2033,11,4082,81
2034,1,3739,28
2035,5,3777,71
2036,4,3943,46
2037,3,3785,61
2038,13,3776,98
2039,4,4048,60
2040,5,4052,67
2041,9,3798,78
2042,18,3660,139
2043,8,3673,78
2044,4,3403,55
2045,1,3627,66
2046,4,3640,45

min,,3000
max,,5000
steps,,9
decimal
