year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,43,-18,103,52
1988,69,-181,12,87
1989,27,-133,-113,212
1990,131,-121,162,126
1991,74,-12,-50,98
1992,81,-164,-139,81
1993,74,-149,67,101
1994,121,-72,-30,163
1995,120,-60,-129,64
1996,34,-89,-51,131
1997,76,-52,-130,157
1998,99,-17,45,138
1999,139,-107,-97,167
2000,126,-142,0,170
2001,87,-51,-38,252
2002,113,-113,-87,112
2003,28,-52,-29,144
2004,100,-77,104,169
2005,89,-90,-32,48
2006,22,-162,-181,189
2007,97,-147,-28,138
2008,130,-82,143,203
2009,79,-115,23,237
2010,110,-73,-36,187
2011,68,-161,-26,144
2012,110,1,47,160
2013,53,-137,-109,176
2014,63,-9,-25,107
2015,64,-96,-11,99
2016,149,-81,77,134
