year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,72,218,325,92
1988,108,93,252,127
1989,79,141,129,244
1990,182,147,370,155
1991,113,211,180,130
1992,138,100,129,125
1993,106,104,275,128
1994,153,169,213,196
1995,158,178,110,95
1996,65,138,176,160
1997,115,171,123,178
1998,132,212,243,161
1999,170,138,138,192
2000,159,102,205,207
2001,124,184,209,283
2002,164,171,167,144
2003,75,182,198,175
2004,131,170,322,195
2005,121,149,199,83
2006,52,98,78,215
2007,134,115,197,165
2008,171,172,335,234
2009,108,132,242,260
2010,134,162,212,212
2011,106,107,209,174
2012,144,241,261,184
2013,83,124,133,208
2014,108,229,228,136
2015,107,152,229,126
2016,183,187,291,163
