year,annual-estival-days
1987,2
1988,25
1989,18
1990,2
1991,12
1992,10
1993,9
1994,24
1995,16
1996,12
1997,35
1998,5
1999,36
2000,8
2001,24
2002,36
2003,23
2004,16
2005,18
2006,31
2007,29
2008,5
2009,10
2010,46
2011,31
2012,9
2013,33
2014,40
2015,14
2016,15
