year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes,permanent-grasslands,temporary-grasslands,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,22,19,25,21,21,,,,,17,159
2001,21,21,24,20,18,16,,,,16,162
2002,25,19,27,19,16,18,,,3,22,137
2003,17,23,18,19,16,10,,,2,12,150
2004,28,23,18,22,11,25,0,13,0,11,104,125,144,210
2005,38,29,30,25,28,9,26,19,0,11,130,135,132,265
2006,14,22,27,19,19,19,,13,0,17,108,75,87,202
2007,39,10,40,25,28,,26,18,0,18,139,108,131,347
2008,35,27,33,25,22,42,13,12,0,4,169,116,163,175
2009,30,27,29,24,24,39,21,15,0,12,156,83,121,161
2010,30,25,24,25,15,18,15,13,10,20,223,92,112,252
2011,30,27,30,25,22,0,15,14,0,28,187,92,116,403
2012,46,31,38,30,25,38,25,16,0,10,223,106,166,255
2013,30,37,33,33,22,0,21,20,0,20,233,101,140,331
2014,41,41,34,33,24,,27,20,,19,127,97,134,179
2015,52,42,44,46,26,47,34,26,32,25,274,95,150,255
2016,27,27,34,29,18,25,12,19,30,17,165,66,111,318
2017,50,33,32,42,23,51,24,19,2,9,63,60,119,286

















