year,annual-precipitations
1987,619
1988,600
1989,484
1990,352
1991,286
1992,688
1993,708
1994,840
1995,779
1996,590
1997,553
1998,902
1999,657
2000,696
2001,853
2002,987
2003,548
2004,625
2005,671
2006,736
2007,724
2008,607
2009,630
2010,653
2011,714
2012,587
2013,656
2014,488
2015,480
2016,670

min,300
max,2000
steps,10
decimal
