year,annual-hydric-deficit
1987,15
1988,-66
1989,-187
1990,-387
1991,-386
1992,-35
1993,21
1994,122
1995,112
1996,-31
1997,-134
1998,244
1999,39
2000,55
2001,186
2002,327
2003,-251
2004,-67
2005,-41
2006,3
2007,-15
2008,-112
2009,-72
2010,-13
2011,-8
2012,-151
2013,-17
2014,-220
2015,-274
2016,-31
