year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,153,205,139,123
1988,181,120,157,142
1989,69,154,178,83
1990,61,103,108,80
1991,45,105,86,49
1992,113,143,215,217
1993,101,169,211,226
1994,167,324,218,131
1995,203,219,222,136
1996,44,129,280,138
1997,121,145,167,121
1998,103,200,309,290
1999,138,194,165,159
2000,192,129,239,136
2001,218,203,234,197
2002,201,248,250,287
2003,115,197,108,128
2004,163,142,195,126
2005,165,130,266,110
2006,122,280,252,82
2007,158,192,222,152
2008,163,168,165,111
2009,117,161,160,193
2010,98,159,231,165
2011,103,196,287,129
2012,121,126,145,196
2013,88,283,170,115
2014,49,141,196,103
2015,104,138,81,158
2016,176,215,163,117
