year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,106,153,1
1988,74,140,0
1989,110,153,0
1990,55,159,0
1991,99,146,1
1992,103,149,0
1993,90,160,0
1994,75,133,0
1995,103,150,0
1996,102,151,0
1997,101,151,0
1998,71,131,0
1999,86,139,0
2000,79,142,0
2001,84,157,1
2002,68,141,0
2003,82,142,1
2004,90,153,0
2005,96,139,0
2006,87,150,0
2007,86,147,1
2008,65,131,0
2009,97,150,0
2010,87,140,0
2011,104,154,0
2012,84,139,1
2013,87,140,0
2014,110,162,0
2015,103,144,0
2016,9,152,1
2016
2017,65,142,0
2018,105,151,0
2019,56,163,0
2020,93,154,0
2021,77,140,0
2022,67,146,0
2023,78,141,0
2024,94,153,0
2025,90,150,0
2026,79,134,0
2027,96,149,1
2028,73,134,0
2029,83,138,0
2030,85,145,1
2031,78,131,0
2032,93,159,0
2033,94,150,0
2034,77,148,0
2035,88,141,0
2036,93,153,0
2037,83,145,0
2038,82,135,0
2039,55,137,0
2040,83,136,0
2041,87,144,1
2042,66,142,0
2043,85,143,0
2044,65,137,1
2045,55,144,0
2046,72,146,0

min,,90,0
max,,190,6
steps,,11,7
decimal
