year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,102,-31,-119,63
1988,120,-162,-112,87
1989,-1,-121,-94,29
1990,-41,-173,-186,13
1991,-29,-133,-206,-18
1992,38,-153,-77,157
1993,29,-129,-50,171
1994,90,47,-84,68
1995,123,-30,-64,82
1996,-20,-133,40,82
1997,48,-129,-112,59
1998,24,-74,53,241
1999,78,-53,-98,112
2000,131,-157,-1,81
2001,156,-65,-46,140
2002,123,-30,-5,239
2003,44,-131,-233,68
2004,87,-129,-96,71
2005,94,-164,-17,46
2006,64,-12,-63,14
2007,70,-140,-37,93
2008,79,-126,-122,58
2009,60,-133,-135,136
2010,27,-106,-42,107
2011,26,-120,18,69
2012,41,-178,-155,141
2013,26,39,-137,56
2014,-36,-150,-78,43
2015,28,-144,-258,100
2016,109,-62,-145,67
