year,spring-oat,sugar-beet,winter-soft-wheat,winter-rapeseed,spring-field-bean,maize-silage,maize-for-grain,winter-barley,winter-field-peas,apple,permanent-grasslands,rye,triticale,vineyards
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-DM-ha,Q-ha,Q-ha,Hl-ha
2000,47,719.1,69.6,33,37,511.9,94.2,60,33.4,251,90,50,54.4,81
2001,48,623.4,70.5,33,38,478,85,62,37,221,89,50,59.5,85
2002,42,711.8,66.5,30,36,526,96,58,33,221,93,50,52.2,76
2003,46,545.3,58.4,24,27,442,78,46,27,256,69,38,46.1,73
2004,51,696.9,81.8,39,37,503,94,65,36,328,90,64,70.1,81
2005,42,663.1,68.4,37,37,509,94,57,33,223,95,51,52.4,72
2006,44,658.1,68.5,38,34,483,88,56,33,263,94,49,58.3,82
2007,42,735.3,74.4,40,37,526,100,58,33,351,94,53,62.7,89
2008,45,689.7,73.7,35,36,512,103,58,32,317,91,55,57.1,74
2009,48,776.2,69,39,37,515,103,63,35,269,94,59,59.5,76
2010,39,716.4,65.8,34,33,466,92,58,30,218,74,44,53.4,60
2011,49,846,71,25,35,542,108,55,30,314,73,42,52.1,62
2012,52,789.5,70.1,33,35,515,107,60,32,312,70,52,61.4,79
2013,44,689.9,75.4,38,31,399,86,61,32,279,66,50,63.6,71
2014,51,904,82.8,45,36,526,109,73,36,395,77,57,72,77
2015,48,674.8,78.3,40,33,399,82,68,33,300,61,53,62,69
2016,47,799.4,73.6,39,,467,102,70,30,322,81,58,60,78
2017
