year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.9,11.2,16.3,4.6
1988,1.8,12.6,16.2,4.6
1989,3.2,12.1,16.8,4.3
1990,4.1,12.5,16.0,4.3
1991,1.5,10.1,17.4,3.6
1992,2.3,12.6,17.3,3.8
1993,0.6,13.8,15.2,3.4
1994,2.7,12.3,17.9,5.6
1995,1.8,11.6,16.8,3.7
1996,-1.7,11.8,14.3,3.2
1997,1.7,11.4,16.8,4.1
1998,2.8,13.2,15.6,3.1
1999,1.8,12.5,17.6,3.9
2000,2.5,14.1,15.9,5.9
2001,2.0,11.7,16.1,4.7
2002,2.9,13.0,16.4,4.4
2003,0.3,14.1,18.1,3.9
2004,1.0,12.0,16.7,4.4
2005,0.6,12.8,16.5,4.4
2006,-1.0,12.7,17.9,6.9
2007,4.3,14.5,15.5,3.7
2008,3.3,13.3,16.1,4.3
2009,-0.3,13.7,17.3,4.5
2010,-0.4,12.0,16.2,2.5
2011,1.5,14.0,16.7,5.0
2012,1.3,13.2,17.0,4.1
2013,-0.3,12.0,17.0,5.1
2014,4.0,13.2,16.8,6.4
2015,2.0,12.4,18.4,6.6
2016,2.3,12.9,17.9,3.9
