year,annual-hydric-deficit
1987,386
1988,540
1989,99
1990,346
1991,461
1992,394
1993,385
1994,603
1995,533
1996,236
1997,357
1998,701
1999,868
2000,549
2001,394
2002,433
2003,12
2004,234
2005,90
2006,327
2007,415
2008,508
2009,343
2010,328
2011,176
2012,627
2013,506
2014,641
2015,509
2016,252
