year,A1,A2,A3
,label A1,label A2,label A3
1987,2,2057,21
1988,2,2132,23
1989,5,1937,39
1990,8,2154,78
1991,2,2003,58
1992,5,2142,60
1993,2,2067,46
1994,13,2145,79
1995,1,2116,25
1996,2,2116,29
1997,2,1907,29
1998,21,1971,110
1999,7,1980,73
2000,4,2180,31
2001,3,2202,30
2002,2,2177,36
2003,6,2053,54
2004,4,2034,29
2005,0,1987,21
2006,21,2168,113
2007,2,2171,18
2008,7,2093,55
2009,0,2169,22
2010,1,2210,33
2011,3,1947,31
2012,4,2191,28
2013,6,2089,37
2014,9,2130,64
2015,1,2008,23
2016,9,2024,58
2016
2017,15,1903,115
2018,7,1700,67
2019,9,1852,48
2020,15,1760,132
2021,24,1806,157
2022,12,1797,75
2023,20,1830,148
2024,12,1879,122
2025,9,1676,76
2026,19,1735,135
2027,7,1721,58
2028,16,1975,97
2029,4,1828,90
2030,7,1863,53
2031,25,1655,145
2032,10,1933,68
2033,19,1710,150
2034,16,1902,110
2035,9,2024,83
2036,19,1744,113
2037,25,1717,138
2038,9,1712,74
2039,2,1832,39
2040,11,1732,92
2041,19,1773,113
2042,10,1955,81
2043,9,1889,75
2044,21,1766,123
2045,19,1823,117
2046,5,1935,50

min,,1400
max,,3000
steps,,9
decimal
