year,F1,F3,M4
,label F1,label F3,label M4
1987,31,115,1
1988,24,115,1
1989,29,112,3
1990,34,119,3
1991,22,117,2
1992,26,116,2
1993,26,122,3
1994,26,123,3
1995,32,115,1
1996,34,122,2
1997,28,112,0
1998,27,117,2
1999,27,115,4
2000,27,120,1
2001,42,122,3
2002,29,127,2
2003,18,122,1
2004,25,118,2
2005,25,110,1
2006,35,118,4
2007,24,119,2
2008,32,115,3
2009,32,126,4
2010,28,118,4
2011,23,111,3
2012,42,119,2
2013,25,113,3
2014,31,121,4
2015,24,121,3
2016,31,115,1
2016
2017,33,111,4
2018,19,104,3
2019,21,113,1
2020,17,117,5
2021,19,111,5
2022,24,108,2
2023,24,112,5
2024,23,112,2
2025,21,105,4
2026,28,111,4
2027,21,110,2
2028,30,113,1
2029,23,117,0
2030,22,115,1
2031,17,109,3
2032,22,115,4
2033,23,105,6
2034,23,118,2
2035,24,116,4
2036,23,109,5
2037,31,107,6
2038,25,114,4
2039,23,113,4
2040,18,110,2
2041,23,112,3
2042,26,114,1
2043,23,123,1
2044,16,118,3
2045,20,118,1
2046,22,117,2
