year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.1,12.0,16.4,9.4
1988,7.6,12.6,15.4,10.8
1989,8.8,13.4,17.6,10.5
1990,9.6,13.0,17.7,9.6
1991,6.5,11.3,17.0,8.9
1992,7.1,13.0,16.0,9.6
1993,8.1,12.8,15.3,8.8
1994,8.6,12.2,16.1,11.6
1995,8.6,12.7,17.2,10.6
1996,7.4,11.9,16.1,9.4
1997,7.9,12.9,17.6,11.1
1998,8.4,12.7,16.1,9.9
1999,8.3,13.1,17.4,10.3
2000,8.0,12.6,16.6,10.1
2001,8.2,12.9,16.9,10.5
2002,9.3,12.5,16.4,11.4
2003,8.3,13.7,18.4,10.5
2004,7.8,13.3,16.9,10.5
2005,8.0,13.5,17.3,10.5
2006,6.7,13.2,18.3,12.1
2007,9.4,14.0,16.1,10.4
2008,8.9,13.5,16.1,9.5
2009,7.1,13.4,16.5,11.1
2010,6.3,13.2,16.6,9.0
2011,8.5,14.0,16.5,12.2
2012,8.6,12.6,16.4,10.6
2013,6.8,11.4,17.5,11.2
2014,8.4,13.2,17.1,11.2
2015,7.9,13.7,15.9,12.7
2016,8.1,13.2,17.8,10.4
