year,annual-estival-days
1987,6
1988,3
1989,27
1990,27
1991,9
1992,9
1993,5
1994,6
1995,25
1996,16
1997,12
1998,3
1999,12
2000,8
2001,11
2002,3
2003,28
2004,8
2005,15
2006,18
2007,0
2008,3
2009,7
2010,6
2011,9
2012,8
2013,9
2014,18
2015,5
2016,12
