year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,128,-10,-105,373
1988,435,-12,25,92
1989,217,-134,-219,235
1990,323,-73,-211,307
1991,253,-39,18,228
1992,105,-120,54,354
1993,112,0,-6,279
1994,325,21,-65,322
1995,501,-101,26,107
1996,152,-21,-112,217
1997,107,-9,-108,367
1998,137,121,24,418
1999,263,111,99,395
2000,3,54,39,453
2001,430,-85,-89,138
2002,148,-1,-134,420
2003,107,-109,-213,227
2004,181,-116,8,161
2005,57,-83,-121,237
2006,239,-141,-137,367
2007,280,59,-25,101
2008,235,-14,53,234
2009,157,-80,-80,346
2010,190,-166,-3,306
2011,114,-165,-97,323
2012,31,161,-48,483
2013,234,19,-187,439
2014,477,-46,-92,302
2015,275,-86,69,251
2016,403,-113,-169,130
