year,annual-estival-days
1987,0
1988,1
1989,6
1990,1
1991,5
1992,6
1993,9
1994,10
1995,8
1996,13
1997,18
1998,1
1999,10
2000,1
2001,11
2002,19
2003,15
2004,4
2005,6
2006,6
2007,2
2008,2
2009,8
2010,21
2011,19
2012,6
2013,10
2014,25
2015,10
2016,12
