year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,544,484,-44,-215,87,6.1,2648,5,15.8,148
1988,561,477,-23,-264,157,6.2,2631,7,14.5,131
1989,529,505,-85,-262,112,7.2,2969,5,16.1,115
1990,581,462,24,-87,78,5.6,2500,3,14.2,154
1991,613,627,-158,-340,141,5.3,2559,20,15.3,156
1992,598,445,51,-119,126,5.3,2546,0,14.4,132
1993,761,595,-6,-147,102,5.7,2650,9,15.0,142
1994,717,623,-61,-209,114,5.6,2619,11,15.6,141
1995,709,440,175,-86,186,5.5,2520,2,15.2,146
1996,557,606,-225,-335,58,6.1,2650,6,14.9,136
1997,633,647,-181,-329,138,5.8,2749,6,15.3,140
1998,606,477,38,-198,157,5.5,2565,2,15.2,140
1999,543,651,-300,-337,30,6.2,2689,7,15.5,143
2000,546,599,-220,-346,109,6.0,2619,13,14.4,146
2001,641,455,81,-122,171,6.0,2557,1,13.5,135
2002,744,477,166,-62,154,6.6,2776,12,15.2,128
2003,615,464,53,-165,159,6.5,2747,1,14.0,105
2004,705,485,112,-126,124,6.0,2581,4,14.2,133
2005,618,470,39,-89,105,5.7,2613,8,15.2,134
2006,563,492,-34,-217,149,6.1,2669,7,14.5,135
2007,724,498,126,-162,227,6.3,2728,19,15.9,134
2008,581,474,13,-136,106,5.5,2581,3,15.0,150
2009,562,465,-4,-164,112,5.9,2649,8,15.8,126
2010,502,503,-114,-257,110,6.3,2841,12,16.0,131
2011,496,481,-89,-192,83,6.2,2646,4,14.8,135
2012,693,491,101,-93,162,6.2,2753,13,15.5,131
2013,543,490,-53,-263,144,5.9,2625,3,14.2,145
2014,649,498,47,-146,168,6.8,2874,11,14.4,110
2015,660,486,74,-98,117,6.2,2672,5,14.9,141
2016,518,490,-73,-207,103,7.3,2984,15,15.9,113
2016
2017,551,510,-71,-272,148,7.9,3164,8,16.9,89
2018,695,470,113,-71,155,6.8,2757,7,14.9,129
2019,745,493,145,-147,206,7.6,3079,3,15.2,105
2020,672,524,32,-163,123,8.1,3234,16,16.2,104
2021,580,643,-264,-404,172,8.2,3154,14,16.8,106
2022,576,489,-30,-172,110,6.8,2891,9,15.5,124
2023,591,672,-254,-391,111,6.7,2951,9,15.9,134
2024,444,632,-381,-394,14,7.0,2821,8,15.5,126
2025,656,488,63,-184,199,7.1,2970,7,15.4,114
2026,591,612,-176,-332,117,6.7,2882,8,15.8,136
2027,680,619,-120,-327,177,7.4,2972,15,17.1,111
2028,698,471,108,-46,110,7.0,2966,5,15.8,125
2029,609,683,-268,-394,102,6.9,2967,11,16.4,127
2030,587,565,-163,-282,72,7.9,3065,3,15.4,90
2031,737,460,163,-14,155,7.6,3006,4,16.0,113
2032,611,512,-8,-181,123,7.0,2928,3,16.2,122
2033,645,488,40,-106,92,7.1,2977,4,15.1,116
2034,616,514,-31,-200,111,7.8,3047,21,16.1,105
2035,733,476,149,-74,175,7.4,3058,6,15.9,96
2036,742,491,141,-70,168,7.5,3092,9,16.3,99
2037,823,504,204,-8,151,7.5,3116,12,15.2,114
2038,670,494,60,-122,120,7.7,3124,8,15.8,111
2039,670,481,82,-180,205,7.2,2947,4,16.7,108
2040,710,515,90,-121,161,7.2,3096,24,17.5,130
2041,650,479,55,-149,159,7.8,3031,6,15.6,96
2042,689,510,67,-205,218,8.0,3164,17,16.8,99
2043,510,508,-107,-215,96,7.4,3003,15,15.4,125
2044,655,519,24,-222,163,7.5,3077,17,16.0,118
2045,615,491,9,-280,282,7.6,2960,0,15.2,96
2046,660,488,47,-173,152,7.5,3014,6,15.9,109
