year,F1,F3,M4
,label F1,label F3,label M4
1987,123,169,2
1988,91,158,4
1989,108,161,7
1990,124,173,5
1991,122,168,1
1992,120,172,1
1993,121,168,1
1994,116,170,2
1995,128,179,1
1996,127,170,4
1997,117,164,2
1998,111,165,4
1999,122,167,0
2000,126,167,2
2001,129,171,5
2002,111,166,1
2003,106,159,3
2004,116,169,2
2005,104,169,0
2006,118,162,2
2007,118,168,1
2008,120,166,6
2009,125,175,5
2010,106,158,6
2011,117,162,3
2012,117,165,2
2013,116,165,4
2014,97,153,1
2015,117,163,2
2016,119,162,5
2016
2017,88,151,4
2018,111,162,0
2019,99,150,5
2020,95,147,3
2021,61,155,3
2022,111,160,1
2023,118,158,4
2024,112,164,4
2025,113,160,4
2026,123,162,2
2027,95,164,3
2028,109,160,3
2029,116,156,3
2030,70,155,3
2031,90,157,1
2032,117,161,0
2033,105,156,1
2034,87,155,4
2035,89,149,3
2036,99,152,4
2037,102,151,2
2038,115,159,3
2039,111,168,3
2040,119,159,2
2041,89,151,2
2042,110,163,2
2043,112,157,1
2044,99,155,4
2045,89,160,4
2046,90,153,3
