year,annual-average-temperature
1987,7.4
1988,9.1
1989,9.5
1990,9.9
1991,8.7
1992,8.9
1993,8.4
1994,9.8
1995,8.5
1996,6.8
1997,8.5
1998,9.0
1999,9.5
2000,9.8
2001,9.0
2002,9.4
2003,9.5
2004,8.6
2005,8.9
2006,9.3
2007,9.6
2008,9.3
2009,9.0
2010,7.7
2011,9.6
2012,9.0
2013,8.4
2014,10.2
2015,9.9
2016,9.5

min,6
max,14
steps,9
decimal
