year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,215,239,257,179
1988,318,105,193,216
1989,134,267,150,241
1990,68,99,119,111
1991,38,86,78,57
1992,104,177,194,196
1993,59,129,195,159
1994,230,205,187,143
1995,199,168,171,71
1996,64,141,160,170
1997,121,137,87,167
1998,63,145,179,171
1999,85,164,157,131
2000,154,93,180,66
2001,168,167,226,157
2002,186,231,253,291
2003,119,154,153,149
2004,155,190,236,140
2005,138,230,217,146
2006,122,196,220,137
2007,181,294,303,135
2008,130,149,126,134
2009,132,152,227,202
2010,114,150,234,155
2011,89,156,176,128
2012,110,213,208,170
2013,109,311,113,227
2014,72,175,339,133
2015,127,88,227,127
2016,166,138,222,108
