year,A1,A2,A3
,label A1,label A2,label A3
1987,12,3526,86
1988,5,3166,44
1989,15,3341,123
1990,4,2848,51
1991,10,3268,88
1992,11,3312,93
1993,7,3185,74
1994,12,3130,126
1995,23,2930,140
1996,18,3154,137
1997,5,3098,53
1998,4,3132,26
1999,4,3262,52
2000,3,3307,58
2001,6,3227,50
2002,20,2998,123
2003,10,3327,97
2004,9,2846,84
2005,25,3346,172
2006,7,3358,64
2007,7,3286,41
2008,12,3157,76
2009,7,3259,67
2010,6,3456,73
2011,8,3221,59
2012,3,3386,28
2013,4,3486,54
2014,4,3119,40
2015,7,3480,65
2016,16,3265,133
2016
2017,18,2699,116
2018,30,2743,192
2019,19,2594,120
2020,27,2495,179
2021,13,2872,136
2022,10,3219,104
2023,18,2951,143
2024,18,2735,141
2025,19,2823,128
2026,13,2977,114
2027,9,3054,96
2028,15,3115,107
2029,18,3052,137
2030,10,3030,74
2031,21,2956,137
2032,13,2971,88
2033,21,2889,133
2034,12,2760,93
2035,23,2836,157
2036,4,2534,43
2037,27,2861,191
2038,31,2589,225
2039,15,3163,98
2040,19,2920,147
2041,17,2764,109
2042,40,2831,256
2043,20,2952,152
2044,14,3046,108
2045,4,2809,53
2046,10,2841,69

min,,2000
max,,4000
steps,,9
decimal
