year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,163,12,18,124
1988,253,-166,-71,165
1989,63,-11,-114,184
1990,-32,-162,-152,45
1991,-33,-133,-209,-5
1992,35,-112,-79,142
1993,-17,-161,-59,103
1994,152,-61,-99,84
1995,118,-76,-114,22
1996,6,-107,-80,115
1997,49,-130,-193,105
1998,-24,-112,-69,119
1999,24,-84,-104,83
2000,95,-188,-54,4
2001,107,-102,-58,98
2002,99,-34,-2,239
2003,44,-165,-184,93
2004,78,-64,-37,86
2005,67,-46,-61,88
2006,71,-78,-86,63
2007,91,-14,47,81
2008,44,-135,-164,75
2009,74,-105,-35,137
2010,47,-95,-14,95
2011,10,-176,-104,60
2012,25,-71,-76,108
2013,54,68,-186,161
2014,-20,-92,79,72
2015,57,-212,-90,65
2016,97,-132,-75,55
