year,F1,F3,M4
,label F1,label F3,label M4
1987,76,134,5
1988,91,137,5
1989,75,132,2
1990,89,137,6
1991,66,147,2
1992,76,123,3
1993,73,127,2
1994,72,124,5
1995,47,126,4
1996,95,134,3
1997,79,126,2
1998,69,126,3
1999,92,142,4
2000,61,123,4
2001,88,132,1
2002,72,138,3
2003,81,139,7
2004,57,120,2
2005,70,130,2
2006,74,142,1
2007,77,138,4
2008,77,131,2
2009,75,135,3
2010,67,128,5
2011,83,137,4
2012,97,141,3
2013,69,138,3
2014,67,127,3
2015,81,133,2
2016,73,135,1
2016
2017,63,132,5
2018,76,125,4
2019,80,127,2
2020,62,117,2
2021,79,136,2
2022,72,117,3
2023,55,112,6
2024,71,138,4
2025,58,145,3
2026,42,136,4
2027,49,122,4
2028,81,130,4
2029,66,112,1
2030,78,128,2
2031,79,131,3
2032,96,138,3
2033,80,128,3
2034,93,141,6
2035,56,129,5
2036,71,133,5
2037,46,134,8
2038,78,133,5
2039,74,134,3
2040,65,122,4
2041,49,124,3
2042,40,116,4
2043,67,123,5
2044,66,109,2
2045,77,128,4
2046,47,122,4

min,,80,0
max,,170,10
steps,,10,11
decimal



