year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,66,-171,17,81
1988,63,-83,-125,86
1989,-36,-32,39,-27
1990,-30,-76,-115,148
1991,10,77,129,159
1992,25,-153,-175,701
1993,-49,-139,-120,308
1994,-29,36,-100,178
1995,138,-57,48,71
1996,43,50,88,124
1997,-21,-93,-15,128
1998,-66,-25,110,246
1999,12,121,32,116
2000,-37,-233,-102,264
2001,94,-50,-52,46
2002,-19,-84,11,180
2003,-6,-259,-101,168
2004,79,75,-54,140
2005,10,-104,200,98
2006,49,23,41,18
2007,88,-93,77,100
2008,26,-58,-12,144
2009,131,-1,24,89
2010,19,-96,170,128
2011,-23,-89,-102,93
2012,-73,-69,-53,234
2013,152,-95,-173,155
2014,84,-31,216,116
2015,20,-76,-165,137
2016,115,-30,-80,157
