year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,88,-103,-74,190
1988,228,173,-203,22
1989,17,-52,-228,-25
1990,12,-75,-269,202
1991,53,-106,-129,136
1992,-19,60,-199,196
1993,-89,-66,-93,178
1994,113,-28,-117,127
1995,142,-240,-100,179
1996,120,-159,-13,136
1997,-55,-58,-158,188
1998,8,-66,-207,78
1999,79,-94,-88,98
2000,31,-60,-177,288
2001,134,-74,-108,8
2002,-16,-88,-174,108
2003,31,-155,-249,143
2004,95,-175,-112,54
2005,-22,-139,-249,75
2006,117,-188,-72,30
2007,132,-82,-163,51
2008,98,-31,-174,110
2009,9,-87,-203,164
2010,83,-145,-260,128
2011,-13,-328,-178,66
2012,-40,-72,-260,100
2013,155,25,-202,131
2014,189,-152,-203,97
2015,73,-183,-200,-5
2016,346,-23,-297,61
