year,annual-precipitations
1987,868
1988,1012
1989,682
1990,741
1991,766
1992,855
1993,743
1994,909
1995,880
1996,951
1997,800
1998,677
1999,809
2000,931
2001,806
2002,672
2003,733
2004,726
2005,585
2006,797
2007,782
2008,824
2009,787
2010,685
2011,472
2012,585
2013,936
2014,820
2015,621
2016,968
