year,F1,F3,M4
,label F1,label F3,label M4
1987,42,112,2
1988,30,118,3
1989,34,108,0
1990,42,121,6
1991,39,113,2
1992,37,114,3
1993,42,110,1
1994,33,121,3
1995,45,115,4
1996,30,108,3
1997,41,111,5
1998,49,123,2
1999,21,124,0
2000,34,110,2
2001,24,114,3
2002,40,109,2
2003,32,113,1
2004,32,110,3
2005,34,113,3
2006,41,105,4
2007,32,116,5
2008,41,107,2
2009,38,114,2
2010,47,120,1
2011,36,120,3
2012,44,120,3
2013,36,119,2
2014,41,120,4
2015,32,119,3
2016,40,109,1
2016
2017,33,115,6
2018,23,110,4
2019,31,102,5
2020,27,112,2
2021,29,109,6
2022,26,108,6
2023,22,118,1
2024,30,107,6
2025,33,121,2
2026,19,121,3
2027,42,104,5
2028,38,113,4
2029,36,103,2
2030,34,114,4
2031,25,111,4
2032,35,105,4
2033,22,118,6
2034,24,110,4
2035,36,110,6
2036,37,115,7
2037,23,112,0
2038,32,111,3
2039,47,110,5
2040,35,105,5
2041,33,115,6
2042,26,124,3
2043,39,115,5
2044,30,110,4
2045,37,104,4
2046,28,107,3

min,,70
max,,140
steps,,11
decimal
