year,annual-frozen-days
1987,46
1988,37
1989,37
1990,35
1991,49
1992,21
1993,40
1994,20
1995,42
1996,40
1997,45
1998,49
1999,37
2000,29
2001,40
2002,18
2003,58
2004,51
2005,73
2006,58
2007,46
2008,45
2009,53
2010,69
2011,39
2012,58
2013,18
2014,3
2015,19
2016,10
