year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,177,179,243,269
1988,329,440,115,128
1989,136,288,154,103
1990,133,213,110,285
1991,149,179,228,210
1992,85,364,135,270
1993,30,227,224,262
1994,219,276,197,217
1995,254,79,252,295
1996,239,177,316,220
1997,65,273,177,285
1998,137,241,144,154
1999,187,201,238,183
2000,141,250,155,386
2001,246,243,214,103
2002,105,221,138,208
2003,163,193,143,234
2004,202,163,219,143
2005,90,209,106,180
2006,218,157,287,135
2007,244,230,164,144
2008,212,269,151,192
2009,126,241,152,268
2010,200,168,93,224
2011,98,46,155,173
2012,73,226,98,188
2013,261,289,164,222
2014,312,183,122,204
2015,171,166,176,108
2016,451,269,90,159
