year,A1,A2,A3
,label A1,label A2,label A3
1987,10,3275,81
1988,23,3091,176
1989,10,3520,80
1990,6,3422,44
1991,11,3450,86
1992,17,3391,136
1993,5,3469,72
1994,7,3228,65
1995,8,3302,65
1996,15,3009,139
1997,12,3465,103
1998,8,3119,73
1999,11,3394,108
2000,12,3445,91
2001,9,3355,86
2002,5,3258,48
2003,17,3556,103
2004,33,3198,238
2005,16,3356,98
2006,18,3249,167
2007,16,3144,133
2008,16,2747,108
2009,14,3329,114
2010,11,3515,102
2011,32,3400,211
2012,5,3177,57
2013,8,3186,73
2014,13,3528,92
2015,26,3164,153
2016,18,3257,123
2016
2017,18,2998,153
2018,31,2971,251
2019,20,2798,142
2020,29,3145,178
2021,23,2811,225
2022,29,2249,200
2023,6,2881,129
2024,35,3190,243
2025,32,2784,196
2026,24,3031,216
2027,25,3089,179
2028,27,2815,177
2029,9,3323,80
2030,52,2972,417
2031,37,3020,227
2032,49,2961,333
2033,26,2810,170
2034,28,2874,199
2035,26,2799,210
2036,13,2955,131
2037,13,2892,105
2038,30,2624,198
2039,33,2605,209
2040,21,3180,155
2041,36,2860,217
2042,34,2804,236
2043,18,2802,114
2044,43,2977,266
2045,37,2860,235
2046,34,2805,216

min,,2000
max,,4000
steps,,9
decimal
