year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,146,86,155,81
1988,168,-50,-26,191
1989,5,-2,88,99
1990,87,92,3,143
1991,33,31,104,120
1992,101,-70,-83,243
1993,-7,-106,17,128
1994,71,-72,-98,91
1995,72,89,-39,63
1996,2,-83,51,90
1997,21,-93,-18,97
1998,18,5,-21,222
1999,122,109,-32,182
2000,155,25,203,125
2001,166,10,14,130
2002,39,-27,117,233
2003,29,-164,-177,118
2004,115,-91,-101,60
2005,30,-50,-31,48
2006,104,-60,-140,26
2007,18,-145,44,14
2008,4,-56,-42,42
2009,49,-2,-111,109
2010,-5,33,36,84
2011,23,-91,-17,43
2012,16,-71,-27,103
2013,93,73,-142,70
2014,-15,-88,24,82
2015,28,30,-228,64
2016,73,-41,-67,49
