year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,206,327,439,147
1988,251,233,277,252
1989,99,268,365,170
1990,188,358,298,205
1991,108,275,404,182
1992,181,225,217,300
1993,68,199,289,190
1994,159,204,214,168
1995,168,341,257,123
1996,66,188,300,153
1997,105,198,268,168
1998,118,305,255,282
1999,187,362,235,236
2000,224,321,468,187
2001,239,300,303,197
2002,141,277,391,302
2003,117,180,181,184
2004,199,191,209,124
2005,106,248,249,111
2006,168,243,187,106
2007,128,215,337,80
2008,113,243,242,113
2009,118,299,187,180
2010,81,289,325,144
2011,106,236,277,113
2012,98,227,260,162
2013,153,314,170,130
2014,77,196,286,153
2015,114,309,114,140
2016,167,225,230,101
