year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,11,38,-77,0,6,-53,52,38,171
1988,18,16,36,2,16,12,53,34,245
1989,5,21,-98,3,6,-171,61,52,200
1990,5,37,3,2,4,45,67,41,202
1991,21,47,-24,3,7,-119,48,50,246
1992,14,39,23,1,10,-17,48,51,132
1993,9,23,-40,2,11,-4,58,57,208
1994,8,23,-66,2,8,-114,57,45,170
1995,11,45,33,1,8,10,53,32,145
1996,27,20,-215,3,10,-274,30,42,189
1997,9,25,-9,0,13,1,70,43,210
1998,12,31,-88,0,4,-131,45,34,164
1999,24,27,-41,1,10,-102,55,50,144
2000,11,37,-94,2,11,-210,55,44,142
2001,10,30,69,1,4,85,69,42,193
2002,4,18,-52,5,5,-176,67,43,139
2003,10,54,5,2,7,33,63,48,279
2004,23,21,-44,4,17,-128,46,55,193
2005,4,28,21,2,13,29,58,43,164
2006,3,27,-21,5,20,-186,66,29,209
2007,17,25,-57,1,13,-52,43,36,204
2008,15,20,-83,3,9,-121,51,22,129
2009,11,23,-106,1,13,-67,60,48,191
2010,11,39,47,1,4,16,61,42,147
2011,29,43,-130,3,22,-214,44,37,173
2012,9,26,-114,1,3,-129,56,50,98
2013,13,35,-59,2,9,-155,65,33,141
2014,12,33,-8,0,7,43,61,51,246
2015,22,33,-49,1,15,-30,51,35,226
2016,16,34,-54,2,7,-79,50,36,136
2016
2017,9,21,86,4,9,6,60,32,210
2018,38,26,-99,3,7,-127,43,40,173
2019,16,21,28,2,8,47,55,22,199
2020,21,29,173,1,16,182,69,29,202
2021,21,13,-105,3,17,-233,61,20,160
2022,30,10,0,3,12,-93,45,15,145
2023,15,23,-22,2,5,-170,39,34,98
2024,29,45,-68,3,20,-160,46,31,181
2025,20,15,-27,2,14,-125,50,27,138
2026,25,17,7,1,17,-77,56,32,151
2027,12,25,101,1,20,23,60,22,179
2028,17,17,19,5,18,-46,59,31,201
2029,15,37,-149,7,3,-192,46,39,135
2030,41,21,-8,3,25,-220,52,33,154
2031,17,25,96,1,21,-35,34,41,105
2032,33,25,4,2,26,-126,50,24,104
2033,19,24,-16,2,12,-109,54,17,232
2034,21,16,1,1,13,-158,49,26,92
2035,26,15,-83,3,13,-238,41,27,82
2036,13,21,80,1,11,-13,63,30,170
2037,19,23,-30,3,5,-137,50,16,121
2038,23,4,-14,3,12,-30,46,33,125
2039,30,20,0,1,12,-48,35,29,162
2040,8,32,-2,3,13,-49,51,30,176
2041,20,25,20,2,17,-109,48,26,164
2042,34,16,-53,5,14,-200,32,26,107
2043,13,20,-38,1,6,-101,54,25,162
2044,23,22,5,1,29,-92,57,40,126
2045,29,23,62,1,12,-16,52,28,136
2046,8,15,17,2,22,4,67,18,198

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
