year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.3,10.9,17.0,4.8
1988,2.1,12.4,16.6,4.7
1989,3.8,11.7,16.5,4.5
1990,3.3,11.9,15.8,4.1
1991,0.9,10.1,17.3,2.8
1992,2.4,13.4,18.7,4.6
1993,1.0,14.2,15.9,3.8
1994,3.5,12.4,18.0,5.9
1995,2.2,11.9,16.6,4.1
1996,-1.6,12.3,14.5,3.1
1997,2.0,11.8,16.5,4.3
1998,3.4,13.8,16.7,3.9
1999,2.0,13.2,18.0,4.4
2000,2.6,14.6,16.7,6.4
2001,3.1,12.7,16.6,4.8
2002,3.8,13.9,16.7,5.6
2003,0.7,15.2,18.9,4.0
2004,1.2,12.4,17.2,4.5
2005,-0.1,13.4,16.7,3.7
2006,-1.2,13.3,18.0,6.8
2007,4.9,14.9,16.3,3.6
2008,3.7,13.8,16.4,5.1
2009,0.1,14.2,17.9,5.3
2010,0.3,12.6,16.8,3.3
2011,2.3,14.4,17.3,5.0
2012,1.2,13.4,16.9,4.8
2013,-0.1,12.1,17.1,5.2
2014,3.8,13.0,16.6,6.7
2015,1.7,13.0,18.3,6.5
2016,3.3,12.7,17.5,4.1
