year,A1,A2,A3
,label A1,label A2,label A3
1987,19,2788,155
1988,28,2845,239
1989,28,3032,208
1990,32,2459,207
1991,15,3094,131
1992,52,2950,330
1993,9,2812,93
1994,30,3066,241
1995,38,2815,236
1996,18,2985,179
1997,9,2983,105
1998,36,2676,229
1999,4,2896,84
2000,9,2959,121
2001,8,2982,80
2002,11,2824,93
2003,25,2599,170
2004,6,2839,62
2005,17,2821,153
2006,15,2702,129
2007,18,2609,134
2008,31,3149,220
2009,18,2759,185
2010,26,3044,182
2011,42,2880,261
2012,18,2743,172
2013,12,2835,114
2014,18,2727,138
2015,20,3248,170
2016,21,2810,154
2016
2017,43,2637,302
2018,48,2523,334
2019,18,2596,163
2020,34,2451,237
2021,33,2731,305
2022,15,2603,144
2023,23,2446,228
2024,26,2455,264
2025,56,2518,388
2026,32,2419,239
2027,44,2304,348
2028,28,2240,208
2029,28,2639,247
2030,31,2363,255
2031,35,2368,214
2032,18,2407,141
2033,24,2338,206
2034,17,2602,194
2035,53,2565,393
2036,81,2337,580
2037,45,2709,310
2038,40,2795,270
2039,38,2714,271
2040,20,2590,188
2041,33,2589,274
2042,55,2747,361
2043,44,2572,265
2044,17,2420,133
2045,55,2586,414
2046,40,2543,265
