year,annual-hydric-deficit
1987,144
1988,85
1989,-122
1990,-61
1991,-143
1992,-144
1993,-162
1994,-106
1995,65
1996,-104
1997,-177
1998,-65
1999,-85
2000,7
2001,-102
2002,59
2003,-524
2004,-276
2005,-289
2006,-150
2007,-172
2008,-249
2009,-168
2010,69
2011,-275
2012,-232
2013,-21
2014,-163
2015,-358
2016,-81
