year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,63,123,1
1988,63,130,0
1989,81,136,0
1990,37,119,0
1991,80,132,0
1992,83,131,0
1993,65,129,0
1994,88,135,0
1995,55,139,1
1996,76,130,0
1997,85,141,0
1998,70,118,0
1999,70,123,0
2000,65,129,1
2001,60,132,0
2002,56,117,0
2003,67,120,0
2004,77,134,0
2005,71,123,0
2006,60,128,0
2007,68,127,0
2008,80,132,0
2009,43,123,0
2010,65,134,1
2011,60,126,0
2012,47,133,0
2013,42,119,0
2014,67,139,0
2015,69,145,0
2016,67,124,0
2016
2017,73,127,1
2018,35,132,0
2019,68,125,0
2020,63,119,1
2021,68,132,1
2022,48,133,1
2023,68,130,0
2024,64,127,1
2025,56,131,0
2026,51,111,0
2027,52,116,1
2028,38,123,1
2029,61,126,0
2030,45,123,2
2031,48,118,2
2032,39,122,0
2033,41,118,0
2034,48,129,1
2035,46,123,1
2036,40,128,1
2037,68,126,0
2038,77,136,0
2039,66,136,0
2040,68,129,1
2041,85,133,1
2042,81,133,1
2043,64,127,0
2044,53,127,0
2045,62,128,0
2046,73,129,1
