year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,148,209,283,169
1988,263,191,189,177
1989,95,204,191,172
1990,119,152,175,178
1991,71,101,226,120
1992,122,176,175,182
1993,55,143,223,208
1994,126,253,184,97
1995,192,227,263,142
1996,79,149,201,205
1997,109,173,166,171
1998,109,213,168,215
1999,180,133,153,160
2000,153,160,283,146
2001,234,141,162,177
2002,161,213,249,229
2003,112,120,82,124
2004,131,110,215,125
2005,117,155,131,119
2006,106,150,268,148
2007,169,203,171,119
2008,140,140,186,106
2009,135,176,143,201
2010,114,253,279,211
2011,107,92,223,164
2012,80,169,162,194
2013,100,319,153,185
2014,88,131,255,168
2015,130,125,137,115
2016,163,258,119,141
