year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.4,13.1,18.5,6.7
1988,4.9,14.6,18.1,7.0
1989,5.7,14.2,18.7,6.4
1990,6.4,13.9,17.7,6.7
1991,3.4,12.1,19.5,5.5
1992,4.5,15.2,19.6,6.3
1993,3.8,16.0,17.8,5.8
1994,5.5,14.6,19.7,8.2
1995,5.1,14.0,19.1,6.4
1996,1.8,14.0,17.1,5.8
1997,4.2,13.9,19.4,6.6
1998,5.6,15.3,18.0,5.7
1999,4.8,15.0,20.3,6.4
2000,5.6,15.9,18.1,8.2
2001,5.4,14.5,18.7,6.9
2002,5.2,15.2,18.5,8.0
2003,3.8,16.7,20.9,6.4
2004,4.2,14.4,19.2,6.6
2005,3.7,15.4,19.2,6.8
2006,1.9,15.4,20.3,9.1
2007,6.7,16.8,17.7,6.0
2008,5.6,15.7,18.1,6.6
2009,2.1,15.7,19.5,7.3
2010,2.8,14.3,18.4,5.1
2011,4.8,16.6,18.8,7.3
2012,4.0,15.2,19.0,6.9
2013,2.4,13.9,19.4,7.6
2014,6.6,15.5,18.8,8.6
2015,4.1,15.0,20.2,8.7
2016,5.2,14.6,20.2,6.0
