year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1598,10,-223,0
1988,1871,13,-322,5
1989,1714,12,-195,8
1990,1631,13,-233,2
1991,1522,11,-264,0
1992,1955,10,-347,2
1993,1464,11,-349,5
1994,1851,11,-450,0
1995,1725,9,-357,1
1996,1826,12,-375,1
1997,1483,11,-391,1
1998,1817,11,-235,0
1999,1495,9,-340,2
2000,1541,10,-397,2
2001,1356,9,-205,1
2002,1471,12,-169,0
2003,1765,10,-243,0
2004,1410,10,-277,2
2005,1667,10,-144,6
2006,1692,11,-304,2
2007,1554,12,-276,1
2008,1781,10,-217,1
2009,1725,12,-397,0
2010,1645,11,-311,8
2011,1810,11,-199,1
2012,1655,9,-246,3
2013,1654,11,-195,2
2014,1404,12,-203,12
2015,1500,10,-313,4
2016,1469,10,-208,0
2016
2017,1958,14,-348,1
2018,1961,10,-267,2
2019,1704,13,-250,2
2020,1873,11,-271,4
2021,1891,11,-395,0
2022,1589,9,-312,0
2023,1683,10,-297,2
2024,1855,12,-433,0
2025,1998,12,-254,5
2026,1911,11,-366,0
2027,2011,10,-471,2
2028,1724,11,-307,0
2029,1815,11,-338,0
2030,1896,10,-415,0
2031,1804,11,-298,1
2032,1575,12,-176,0
2033,1773,12,-164,1
2034,1661,12,-222,3
2035,2048,13,-424,5
2036,2115,11,-391,5
2037,1692,12,-247,5
2038,1809,12,-240,4
2039,1733,10,-291,2
2040,1604,11,-106,1
2041,2008,12,-386,0
2042,1977,11,-321,2
2043,1893,10,-292,1
2044,1622,11,-270,2
2045,1996,11,-323,0
2046,1859,12,-279,1

min,,4
max,,17
steps,,8
decimal
