year,A1,A2,A3
,label A1,label A2,label A3
1987,9,3186,102
1988,4,2885,36
1989,19,2975,146
1990,8,3371,57
1991,7,2973,68
1992,15,3065,116
1993,16,3100,144
1994,26,2938,191
1995,6,2896,50
1996,11,3254,91
1997,6,3019,72
1998,16,2989,118
1999,1,3349,35
2000,10,3148,124
2001,13,3077,100
2002,9,3205,70
2003,6,2915,67
2004,20,3233,122
2005,10,3115,70
2006,14,3241,90
2007,35,3270,215
2008,9,3069,67
2009,19,3033,135
2010,7,3163,58
2011,5,3098,69
2012,21,3361,132
2013,15,2932,111
2014,12,2933,98
2015,16,3161,106
2016,19,2891,133
2016
2017,23,2700,160
2018,29,3002,179
2019,28,2880,222
2020,13,2792,109
2021,19,2750,172
2022,21,2853,140
2023,9,2644,87
2024,14,2863,132
2025,21,2675,122
2026,13,2805,102
2027,10,2741,119
2028,21,2702,160
2029,23,3049,220
2030,15,2832,145
2031,17,2638,122
2032,34,2590,227
2033,21,2641,160
2034,42,2642,302
2035,11,2756,85
2036,17,3108,145
2037,18,2873,138
2038,18,2771,139
2039,13,2846,101
2040,38,2985,236
2041,13,2965,102
2042,32,2823,215
2043,17,2519,151
2044,15,2898,102
2045,6,2812,66
2046,16,2631,128
