year,F1,F3,M4
,label F1,label F3,label M4
1987,75,138,0
1988,66,133,1
1989,87,141,1
1990,79,147,1
1991,42,135,2
1992,83,133,0
1993,59,138,4
1994,80,135,3
1995,65,133,1
1996,78,150,1
1997,69,130,0
1998,62,133,1
1999,100,150,0
2000,68,155,2
2001,70,132,0
2002,72,146,3
2003,80,142,1
2004,78,140,1
2005,78,147,1
2006,99,149,0
2007,77,142,0
2008,71,135,1
2009,64,140,1
2010,87,143,2
2011,89,138,0
2012,94,149,4
2013,61,135,2
2014,66,133,2
2015,64,145,1
2016,61,131,1
2016
2017,66,136,1
2018,72,146,1
2019,95,146,1
2020,25,133,1
2021,59,134,0
2022,56,149,2
2023,40,133,2
2024,71,146,1
2025,60,123,2
2026,54,146,0
2027,59,130,1
2028,41,143,3
2029,83,147,0
2030,67,134,1
2031,57,137,0
2032,38,127,1
2033,47,141,2
2034,59,140,1
2035,60,140,2
2036,97,151,2
2037,63,131,1
2038,50,129,1
2039,88,141,1
2040,81,144,3
2041,73,151,0
2042,70,136,1
2043,33,128,4
2044,68,149,2
2045,67,137,0
2046,45,132,2
